car-id,hours
20150016040041-1,0.833
20150016070028-165,5.367
20150016070034-393,5.383
20150016070037-632,71.7
20150016090024-567,1.483
20150016090035-720,23.533
20150016090054-771,1.483
20150016110047-767,0.9
20150016120041-181,53.167
20150016120045-845,1.5
20150017040038-392,118.45
20150017050047-192,0.567
20150017060051-822,1.0
20150017070009-324,1.883
20150017100000-961,47.167
20150017120018-349,0.583
20150017120055-53,116.567
20150018020030-238,97.267
20150018030025-615,0.317
20150018050050-556,46.65
20150018070004-166,0.85
20150018080022-664,32.767
20150018100013-569,96.667
20150018110014-26,1.283
20150018110057-525,50.9
20150019010004-372,58.5
20150019010017-785,69.35
20150019010055-677,81.083
20150019030052-865,0.767
20150019040039-358,194.8
20150019040047-472,1.083
20150019050058-11,50.217
20150019090006-7,1.45
20150019120036-151,0.583
20150020030052-644,19.567
20150020040021-389,15.833
20150020070057-880,0.467
20150020090018-839,125.567
20150020100002-73,0.6
20150020120003-629,0.8
20150021030032-233,0.55
20150021050036-788,25.95
20150021080000-521,131.317
20150021110008-649,0.95
20150021110015-325,0.95
20150022010045-622,0.583
20150022040009-518,147.0
20150022080040-235,24.55
20150022090025-737,29.75
20150022110023-715,333.133
20150022120004-986,0.783
20150023030012-350,32.433
20150023080039-257,1.05
20150024010014-301,78.933
20150024010045-514,81.833
20150024030045-709,0.933
20150024040008-576,91.2
20150024060019-914,152.033
20150024060036-489,1.433
20150024070035-193,0.883
20150024090008-901,107.333
20150024110011-994,1.267
20150024110030-386,1.483
20150024110036-855,237.4
20150024120030-790,0.6
20150024120054-586,0.333
20150024120056-588,50.467
20150025040004-379,46.683
20150025070013-240,0.333
20150025100027-993,0.517
20150025100041-260,120.3
20150026020037-148,1.133
20150026060010-577,0.333
20150026070015-698,35.317
20150026110014-327,27.6
20150026110019-851,1.033
20150026120010-942,98.417
20150026120014-798,0.35
20150027070016-18,3.133
20150027080052-161,251.85
20150027100028-509,146.633
20150027100030-310,55.483
20150027100037-189,36.583
20150027110055-293,0.467
20150027120012-20,79.383
20150028030041-325,125.95
20150028030051-590,125.833
20150028040010-50,42.217
20150028050007-273,125.117
20150028060003-741,97.833
20150028060011-953,2.583
20150028060051-703,4.65
20150028100038-378,3.783
20150028120058-137,0.417
20150029020040-164,21.683
20150029030057-969,126.117
20150029080012-457,26.767
20150029090022-198,0.367
20150029110001-754,0.517
20150030030022-184,0.933
20150030050037-993,15.783
20150030050049-156,72.233
20150030060046-176,87.017
20150030070026-128,74.833
20150030080014-34,1.1
20150030090034-886,9.617
20150030090047-958,0.567
20150030100046-714,97.383
20150030120002-677,32.9
20150030120023-694,1.85
20150031010000-784,0.467
20150031030030-236,26.417
20150031040021-961,1.267
20150031050048-776,11.583
20150031060051-429,102.767
20150031070053-947,130.217
20150031100003-289,0.883
20150101010137-533,0.6
20150101020154-96,0.6
20150101030146-497,0.333
20150101040141-397,1.067
20150101050138-171,0.517
20150101060136-731,0.917
20150101110137-214,1.15
20150102010156-22,0.467
20150102020155-899,24.867
20150102080136-341,1.217
20150102080153-960,73.2
20150102100120-757,36.9
20150102120122-682,1.15
20150102120151-257,46.183
20150103020130-343,174.917
20150103030112-131,0.95
20150103040138-632,42.3
20150103070112-250,78.85
20150103070124-133,0.95
20150103100100-923,27.833
20150103100107-497,55.583
20150104020118-228,0.767
20150104030100-971,0.283
20150104030145-629,0.8
20150104040106-481,186.7
20150104050127-736,24.45
20150104050128-43,167.983
20150104060101-478,63.767
20150104090150-765,1.067
20150104100141-172,0.8
20150104120123-255,90.9
20150104120127-678,0.483
20150105010142-777,55.433
20150105020100-532,0.6
20150105040107-528,23.1
20150105040122-318,0.667
20150105040131-344,0.367
20150105040143-572,0.417
20150105040155-8,140.633
20150105060134-242,413.3
20150105060153-959,3.45
20150105060155-720,0.967
20150105070153-470,250.083
20150105080122-729,84.967
20150105080156-835,0.983
20150105090139-623,172.633
20150105120114-572,33.133
20150106030143-319,45.283
20150106040105-101,1.167
20150106080108-146,0.967
20150106080113-871,37.55
20150106120154-473,26.367
20150107030156-44,1.083
20150107050116-884,166.05
20150107060117-495,0.333
20150107070123-611,1.717
20150107100101-687,0.283
20150108040111-888,54.433
20150108040141-642,52.717
20150108050153-619,28.117
20150108060104-840,227.3
20150108060137-927,96.65
20150108070109-950,1.033
20150108080154-471,33.933
20150108090141-220,0.533
20150108090148-800,1.517
20150108100110-534,82.083
20150108100148-571,0.95
20150108120140-67,20.067
20150108120150-466,0.517
20150109020132-169,1.117
20150109020137-850,121.1
20150109020146-55,4.167
20150109040106-69,21.217
20150109060105-321,0.5
20150109060133-67,29.0
20150109070152-346,0.933
20150109090104-441,1.483
20150109100114-5,60.583
20150109120126-683,1.017
20150110010138-303,0.533
20150110020117-451,0.983
20150110030105-67,166.65
20150110030147-494,2.5
20150110040142-327,0.933
20150110050107-785,0.35
20150110050133-481,3.083
20150110050137-491,0.3
20150110060107-684,176.933
20150110090142-745,49.533
20150110100128-45,0.467
20150110120122-92,0.817
20150111030116-821,54.6
20150111070138-888,0.467
20150111080117-6,0.567
20150111090110-546,271.883
20150111090154-956,0.35
20150112010145-445,0.3
20150112050122-27,102.0
20150112050156-642,53.367
20150112060145-428,24.867
20150112080120-851,23.95
20150112080156-678,96.333
20150112090109-791,0.983
20150112110110-857,100.817
20150112110147-385,194.8
20150112120144-135,1.767
20150113020105-915,22.667
20150113030155-53,0.467
20150113030159-936,55.467
20150113120100-489,1.683
20150113120141-485,48.467
20150114010112-608,0.5
20150114010135-879,138.383
20150114030106-231,19.067
20150114060124-678,2.783
20150114070109-176,39.333
20150114110103-352,1.367
20150115010107-702,22.333
20150115010131-543,21.467
20150115020146-483,19.95
20150115030151-677,0.533
20150115040106-484,0.867
20150115050115-511,114.967
20150115060113-519,78.267
20150115080143-276,192.267
20150115080147-541,61.367
20150115090108-931,0.783
20150115090150-109,35.75
20150115100135-182,103.15
20150115110144-566,81.283
20150115120113-772,0.767
20150116020159-920,1.05
20150116050129-415,76.617
20150116060132-28,2.233
20150116070109-391,74.533
20150116100148-276,53.617
20150116110131-176,0.917
20150117010157-104,51.1
20150117050111-877,0.967
20150117050152-613,0.55
20150117060105-392,41.083
20150117070118-157,83.567
20150117100126-822,179.533
20150117110134-691,1.883
20150117120159-447,1.433
20150118010108-465,1.95
20150118010148-280,1.15
20150118040129-468,0.533
20150118040142-85,0.483
20150118100127-966,0.533
20150118110104-393,0.283
20150118110157-82,188.7
20150119010140-843,31.083
20150119050113-178,0.533
20150119060114-461,0.833
20150119070106-803,0.467
20150119070136-139,5.1
20150119090129-183,335.3
20150119100120-362,0.317
20150119100134-582,0.317
20150120010150-561,0.533
20150120020159-683,24.85
20150120070135-951,0.567
20150120080147-213,0.633
20150121010129-985,2.1
20150121010150-667,0.6
20150121020117-781,97.033
20150121030143-599,55.733
20150121040107-161,0.517
20150121050143-645,0.5
20150121060147-159,80.617
20150121070130-958,0.95
20150121100115-258,3.517
20150121120122-416,1.0
20150122020145-884,0.5
20150122030139-293,0.383
20150122050120-946,97.85
20150122050155-696,1.15
20150122060128-25,55.433
20150122060131-462,0.9
20150122060138-185,243.383
20150122060151-905,2.55
20150122060153-192,0.467
20150122090127-897,127.367
20150122090132-684,129.7
20150122100136-869,144.333
20150122100139-218,145.467
20150122110107-735,84.183
20150123020103-717,146.717
20150123030104-225,0.517
20150123030147-354,0.317
20150123040133-735,1.067
20150123040140-843,51.383
20150123040147-250,0.5
20150123070109-172,48.0
20150123100107-508,31.567
20150123100144-22,1.517
20150123110109-178,0.467
20150123120119-117,0.817
20150124030132-312,0.533
20150124040121-291,66.3
20150124040140-271,1.633
20150124040143-131,3.8
20150124040148-340,0.617
20150124050126-399,42.017
20150124060117-847,0.3
20150124060130-672,1.483
20150124080152-145,81.167
20150124090106-75,60.067
20150124090120-626,3.4
20150125040103-831,1.05
20150125080138-74,100.833
20150125110117-319,0.55
20150126050104-378,210.633
20150126050104-905,193.283
20150126090104-272,3.55
20150126090110-87,2.9
20150126100125-762,1.233
20150126110156-850,0.617
20150126120104-294,0.317
20150127010131-864,105.867
20150127030109-159,0.55
20150127030110-863,23.7
20150127030133-376,68.233
20150127050102-625,1.017
20150127090118-293,1.233
20150127090150-668,0.483
20150127110109-336,80.817
20150128020107-210,0.817
20150128020123-126,0.967
20150128050153-539,0.35
20150128070124-874,204.433
20150128080123-70,6.583
20150128120128-946,1.033
20150129040119-274,0.783
20150129050133-736,1.05
20150129060102-704,0.9
20150129070111-412,0.95
20150129070156-888,100.117
20150129090159-131,25.8
20150129120100-835,91.183
20150130010110-805,0.867
20150130010144-517,0.417
20150130020140-998,0.933
20150130030134-783,30.733
20150130080133-858,1.05
20150130120133-197,98.167
20150131120109-93,1.0
20150201020251-919,125.417
20150201030218-279,0.583
20150201030222-313,0.783
20150201030223-912,0.45
20150201030237-485,193.633
20150201040231-215,65.633
20150201040237-719,2.533
20150201060238-845,29.983
20150201070216-808,216.117
20150201080212-913,58.45
20150201080243-358,56.433
20150202030203-631,6.383
20150202040220-736,147.917
20150202100259-885,0.817
20150202120211-959,104.467
20150203060210-288,123.533
20150203060230-10,39.283
20150203060259-209,35.0
20150203070211-66,3.0
20150204010234-9,26.15
20150204020258-450,102.25
20150204040257-657,0.5
20150204070256-521,0.5
20150204080211-442,1.667
20150204080227-619,0.933
20150204100226-134,10.65
20150204110202-249,1.217
20150204120203-524,0.483
20150205010257-226,46.367
20150205020259-789,0.583
20150205030232-909,174.983
20150205030244-387,1.167
20150205040226-2,1.217
20150205040249-209,0.55
20150205040259-818,3.6
20150205050206-416,0.4
20150205050211-113,1.7
20150205050224-69,0.417
20150205050251-251,75.7
20150205060243-479,6.383
20150205070257-697,30.533
20150205080233-879,0.85
20150205080250-857,49.133
20150205080253-978,0.567
20150205110228-447,124.867
20150205120211-387,0.5
20150206010230-163,1.15
20150206070250-791,110.617
20150206080209-247,4.933
20150206080212-82,220.6
20150206080226-163,28.5
20150206090205-388,1.15
20150206090210-251,0.367
20150206090224-936,0.55
20150206110209-450,94.85
20150206110226-989,23.45
20150207010252-949,0.5
20150207030221-800,91.35
20150207040215-112,1.067
20150207040220-935,0.933
20150207050247-410,122.683
20150207050259-178,44.683
20150207060250-229,0.817
20150207070201-863,1.017
20150207070236-872,1.467
20150207080240-722,154.617
20150207090207-597,0.483
20150207100218-368,46.733
20150207100246-511,53.517
20150207100251-836,47.85
20150207110213-868,30.083
20150207120223-773,1.233
20150208020258-125,51.367
20150208050254-21,269.95
20150208060247-95,30.083
20150208080245-958,0.5
20150208100221-140,33.433
20150208120236-553,0.333
20150209010259-697,18.717
20150209030207-239,1.45
20150209030226-601,1.133
20150209040222-611,0.883
20150209040256-114,0.6
20150209060217-820,41.217
20150209060231-540,82.583
20150209060231-719,368.45
20150209060238-306,33.55
20150209080253-791,1.45
20150209090220-14,0.95
20150210010202-458,0.917
20150210020219-563,23.567
20150210060208-458,0.75
20150210080230-653,1.15
20150210080252-159,0.733
20150210090226-728,8.767
20150210100228-734,121.333
20150210110251-325,4.3
20150211020216-596,0.367
20150211030246-951,24.95
20150211030247-915,0.933
20150211060212-247,1.083
20150211080249-753,52.4
20150211090217-8,0.333
20150211090239-980,0.583
20150211100232-929,0.283
20150211110249-463,1.167
20150212010257-58,0.383
20150212020201-712,0.367
20150212020230-583,0.483
20150212030241-721,143.967
20150212040259-674,1.733
20150212060245-559,0.9
20150213010207-861,0.55
20150213020216-787,88.483
20150213020242-370,0.317
20150213050220-905,97.033
20150213080245-239,1.067
20150213100239-978,82.783
20150213100243-108,0.9
20150213100244-187,173.7
20150213110259-700,0.533
20150213120204-866,1.0
20150213120238-644,0.633
20150214010242-372,0.983
20150214020239-72,116.767
20150214020240-113,30.917
20150214040259-301,0.783
20150214050243-579,0.517
20150214050259-776,8.8
20150214060215-80,159.133
20150214060220-382,0.933
20150214070205-409,82.017
20150214070227-209,1.983
20150214070255-757,37.917
20150214110221-163,1.2
20150214110230-668,69.133
20150215040246-830,0.733
20150215060213-419,4.833
20150215060225-774,228.217
20150215070210-159,64.217
20150215080233-547,1.083
20150215110234-930,78.483
20150216020236-229,0.45
20150216020249-396,0.4
20150216030218-144,121.25
20150216050250-845,0.367
20150216060224-299,0.5
20150216090217-343,0.417
20150216120249-701,0.467
20150217030209-500,22.95
20150217070227-343,80.8
20150217080254-664,84.767
20150217100259-352,47.583
20150217110211-163,0.583
20150218020205-444,102.667
20150218020235-744,50.2
20150218020245-27,0.583
20150218030208-54,0.367
20150218060201-241,6.85
20150218080215-880,25.633
20150218080228-384,0.467
20150218100235-723,0.55
20150218120204-473,0.567
20150218120246-220,79.233
20150219010247-476,0.333
20150219010259-607,1.533
20150219040226-843,223.083
20150219040245-828,0.55
20150219050239-130,1.917
20150219060208-152,2.85
20150219060212-464,0.5
20150219060243-351,39.833
20150219060245-412,5.483
20150219070245-275,0.767
20150219120223-913,154.083
20150220020224-864,1.717
20150220020253-931,0.083
20150220040211-856,75.35
20150220050217-238,0.367
20150220050250-759,0.383
20150220070230-806,1.517
20150220070255-321,0.517
20150220070258-78,0.683
20150220080208-953,24.65
20150220090207-4,0.883
20150220100257-488,0.683
20150220110204-775,0.283
20150220120207-682,1.283
20150221010241-26,177.55
20150221010248-121,0.383
20150221020226-361,1.167
20150221050207-983,0.483
20150221060206-207,40.533
20150221080230-251,0.517
20150221080233-162,228.45
20150221080255-974,27.117
20150221090256-672,22.05
20150222020245-78,98.333
20150222030253-528,1.517
20150222040240-339,0.3
20150222050203-651,0.3
20150222080201-647,0.55
20150222120224-908,1.767
20150222120240-889,3.667
20150223010214-102,0.917
20150223010227-152,0.35
20150223050200-237,97.3
20150223060208-554,29.883
20150223080232-126,53.35
20150223080236-476,2.467
20150223090243-726,27.05
20150223100216-408,30.667
20150223110226-578,57.683
20150223110259-667,23.183
20150224010207-397,117.05
20150224010232-820,0.483
20150224010242-67,56.167
20150224040209-825,0.333
20150224040213-439,0.483
20150224040251-670,44.667
20150224060210-730,6.417
20150224080200-493,0.833
20150224090221-347,0.883
20150224100248-221,60.867
20150225010255-927,2.7
20150225030241-455,0.967
20150225050220-518,0.367
20150225050254-301,0.383
20150225120206-4,149.133
20150225120233-156,0.767
20150226020240-312,0.467
20150226040200-707,0.933
20150226050215-572,5.383
20150226080201-708,1.217
20150226080250-347,2.0
20150226090206-282,80.7
20150226090228-180,132.2
20150227040216-933,2.883
20150227050213-13,21.0
20150227050249-620,0.517
20150227060225-629,34.833
20150227070202-589,29.55
20150227070212-936,80.883
20150227080211-917,0.917
20150227100257-879,237.4
20150227110259-695,0.5
20150228010235-447,44.417
20150228020203-565,142.667
20150228020218-410,0.933
20150228040218-159,51.667
20150228040220-734,0.8
20150228040258-293,0.517
20150228050229-132,0.333
20150228060237-734,1.083
20150228060241-909,0.967
20150228060253-886,0.55
20150228060258-280,0.567
20150228070255-830,1.133
20150228100230-407,0.433
20150228100235-385,121.767
20150228110224-816,46.567
20150229030257-163,0.9
20150229040200-535,1.667
20150229050210-638,48.067
20150229060250-368,9.233
20150229070248-397,76.133
20150229070254-204,102.933
20150229080229-708,3.033
20150229100210-587,0.667
20150229100219-140,0.567
20150229120212-565,57.617
20150229120229-56,1.85
20150230020208-895,2.567
20150230020229-743,0.533
20150230040228-217,0.817
20150230060218-649,0.417
20150230070206-829,104.75
20150230070214-548,1.667
20150230070254-178,1.1
20150230090247-751,0.517
20150230100237-163,131.733
20150230100245-923,52.117
20150230100247-423,2.317
20150230110228-138,0.517
20150230110247-212,74.933
20150231010230-879,20.25
20150231010233-845,262.85
20150231020234-357,1.083
20150231040206-408,0.6
20150231040229-915,0.833
20150231050204-372,101.217
20150231060233-191,36.35
20150231120236-701,69.317
20150301010358-741,0.95
20150301040348-691,3.4
20150301040355-981,146.2
20150301050357-768,19.483
20150301110359-991,0.633
20150302010308-139,0.967
20150302010312-760,0.683
20150302010318-216,0.35
20150302060320-142,128.483
20150302120354-207,43.133
20150303040325-976,73.967
20150303080344-262,62.15
20150303100300-303,1.083
20150303100335-568,172.8
20150303100343-74,4.367
20150303100354-126,96.567
20150303120312-233,59.567
20150304020342-804,1.133
20150304020354-357,2.117
20150304020357-184,223.267
20150304050334-811,0.5
20150304060314-79,4.35
20150304070342-20,125.55
20150304080318-31,83.533
20150304080333-22,1.567
20150304100320-326,0.417
20150304120307-360,177.1
20150304120353-11,0.517
20150304120355-104,0.933
20150305030327-986,292.267
20150305030356-98,64.433
20150305040318-34,1.4
20150305040319-117,1.3
20150305060300-527,146.867
20150305070304-542,0.517
20150305090320-516,1.15
20150305100328-487,201.817
20150305110318-934,154.95
20150306010334-471,0.983
20150306030356-503,0.9
20150306050305-235,50.9
20150306070307-320,0.35
20150306080327-887,73.883
20150306110354-15,0.567
20150307010338-210,75.083
20150307020308-823,20.567
20150307030320-55,50.117
20150307040337-388,0.95
20150307050341-35,73.85
20150307100357-262,28.633
20150307120319-340,19.933
20150308060316-51,0.533
20150308080350-359,83.467
20150308090350-385,0.8
20150308110311-631,0.467
20150308110346-628,33.867
20150308110350-292,77.75
20150309010312-403,0.5
20150309010348-628,75.75
20150309030327-506,19.2
20150309050339-817,0.35
20150309080352-837,84.4
20150309100312-290,50.85
20150309110339-234,0.933
20150310030349-569,2.767
20150310040317-804,0.317
20150310050337-557,24.917
20150310060307-190,0.517
20150310080358-131,1.933
20150310110337-570,1.217
20150311010308-753,173.817
20150311020301-173,2.083
20150311040324-846,141.4
20150311040359-426,72.117
20150311070357-437,0.783
20150311090356-344,25.683
20150311100310-634,2.333
20150311110338-47,0.5
20150312020332-263,54.55
20150312030310-797,0.35
20150312030323-538,42.15
20150312050331-531,265.017
20150312070334-705,29.267
20150312070358-756,2.383
20150312090350-592,1.25
20150312110353-306,43.917
20150312110359-70,1.05
20150313020331-774,0.517
20150313020340-835,1.183
20150313050304-212,0.283
20150313070357-430,3.95
20150313080324-835,252.75
20150313090335-839,31.017
20150313100322-481,0.467
20150313110328-797,68.967
20150313120304-778,0.533
20150314010330-172,0.417
20150314020358-556,1.233
20150314050311-620,239.967
20150314060301-241,206.267
20150314100300-561,32.633
20150314110309-545,7.567
20150315020313-770,0.333
20150315030313-186,17.6
20150315030315-306,0.917
20150315040326-931,1.6
20150315040339-712,0.733
20150315040346-314,67.033
20150315060334-564,0.45
20150315070341-687,0.8
20150315070348-862,0.433
20150315100304-407,0.433
20150315110302-350,1.083
20150315110303-677,123.283
20150316010332-387,128.6
20150316010333-924,3.433
20150316030322-873,1.333
20150316030333-652,53.5
20150316060340-469,6.367
20150316090337-647,0.517
20150316120315-424,50.417
20150316120339-456,0.55
20150317010343-76,44.567
20150317020307-698,0.967
20150317050321-831,1.1
20150317050329-424,4.283
20150317060312-681,146.2
20150317070356-563,0.367
20150317100334-180,1.0
20150317100334-591,0.5
20150318010358-404,0.533
20150318020305-433,1.633
20150318040307-903,1.483
20150318040329-875,29.067
20150318040333-385,0.433
20150318050336-762,0.517
20150318090327-261,2.1
20150319020304-688,32.433
20150319030320-589,1.083
20150319040353-167,1.95
20150319060310-586,0.883
20150319090314-498,28.0
20150319090350-88,346.783
20150319100341-343,1.15
20150319120301-287,94.417
20150319120359-872,1.0
20150320010324-914,42.917
20150320020348-641,223.7
20150320030336-192,0.367
20150320030349-572,128.15
20150320040327-383,40.933
20150320050325-256,8.433
20150320110357-989,0.5
20150320120345-328,1.0
20150321010307-127,188.183
20150321010322-471,1.75
20150321040305-564,0.5
20150321060348-225,5.333
20150321080317-281,76.867
20150321080345-584,85.367
20150321090310-782,0.817
20150321100345-935,0.467
20150321120327-684,0.317
20150322020344-232,80.283
20150322060343-331,98.183
20150322080300-861,11.4
20150322080331-384,73.367
20150322080359-496,0.7
20150322090352-662,23.233
20150322100332-892,0.8
20150322110349-365,53.717
20150323010316-495,1.4
20150323020331-139,0.967
20150323030348-749,173.2
20150323040301-184,50.983
20150323050310-883,147.95
20150323050332-513,124.55
20150323050354-727,8.183
20150323060306-955,5.917
20150323070338-324,0.467
20150323090352-23,54.9
20150323120317-848,0.417
20150324030322-373,0.4
20150324060332-594,80.317
20150324080316-784,58.7
20150325010306-666,123.083
20150325010321-329,1.617
20150325010332-715,1.067
20150325020345-881,52.533
20150325020355-94,0.417
20150325030320-992,0.517
20150325060300-912,32.267
20150325060313-681,0.5
20150325090305-573,0.767
20150325090326-748,0.517
20150326040316-459,53.017
20150326050302-149,45.717
20150326070301-296,0.6
20150326080304-403,0.9
20150326090318-883,133.617
20150326090329-717,59.567
20150326110308-543,31.317
20150326110316-836,0.483
20150326110322-354,28.583
20150326120302-265,20.767
20150326120337-794,0.5
20150327030331-456,24.65
20150327030347-941,164.667
20150327050342-760,70.533
20150327100356-183,92.483
20150327120333-393,0.833
20150328040327-867,0.583
20150328050342-266,1.0
20150328060313-318,6.383
20150328060314-923,171.233
20150328070321-554,82.083
20150328070334-74,1.65
20150328070355-178,0.733
20150328070359-611,23.9
20150328090306-30,3.867
20150328090330-172,48.067
20150329010321-683,1.617
20150329010340-772,77.267
20150329020331-802,184.483
20150329020335-284,0.767
20150329030344-472,71.5
20150329030356-86,50.333
20150329060327-985,0.633
20150329070326-185,0.967
20150329080354-90,51.967
20150329090301-42,0.733
20150329090321-197,0.5
20150329090328-682,0.533
20150329090346-314,0.917
20150329100312-987,0.35
20150329110309-665,0.95
20150329120353-101,0.95
20150330010358-933,0.533
20150330040351-563,0.867
20150330050315-215,65.883
20150330060312-987,32.9
20150330070352-212,4.05
20150330080312-693,2.85
20150330080320-3,0.633
20150330090357-596,26.683
20150330100336-92,0.617
20150330100344-165,1.017
20150330100356-309,0.783
20150330120309-603,0.533
20150330120358-817,0.983
20150331030328-660,0.933
20150331040308-415,0.967
20150331040348-209,1.083
20150331070301-665,5.083
20150331070335-866,1.017
20150331080305-385,1.967
20150331090309-424,6.867
20150401060413-629,0.483
20150401060447-851,1.15
20150401070439-330,28.467
20150401070447-6,0.817
20150401080435-346,2.233
20150401110401-786,0.817
20150401110417-611,48.167
20150401120409-216,0.617
20150402050412-14,0.283
20150402060453-735,0.867
20150402100411-423,1.35
20150402120425-392,29.75
20150403020416-490,1.417
20150403060423-562,7.333
20150403070446-252,0.85
20150403100428-88,0.533
20150403100431-843,0.583
20150403120405-547,20.75
20150403120428-179,190.617
20150404010414-57,52.6
20150404030444-324,1.05
20150404040434-742,99.05
20150404040455-117,1.25
20150404050454-793,91.067
20150404060428-696,0.333
20150404070434-936,1.017
20150404090455-709,0.5
20150404100414-811,0.4
20150404120407-76,19.183
20150404120427-5,1.667
20150405010405-973,32.667
20150405010407-140,0.95
20150405010436-416,0.517
20150405040445-909,21.333
20150405080425-970,123.183
20150405090426-651,153.933
20150405100402-510,205.367
20150405120404-360,29.417
20150406010414-133,0.867
20150406010443-576,4.017
20150406040417-783,19.367
20150406060403-384,0.317
20150406070417-93,0.467
20150406080422-756,0.917
20150406100420-954,0.517
20150406100439-485,1.133
20150406120417-939,43.283
20150406120427-726,119.9
20150406120449-237,201.683
20150407010435-360,0.417
20150407010449-292,1.617
20150407050402-325,125.683
20150407050404-905,0.9
20150407080402-311,1.15
20150407090456-983,32.383
20150408020442-543,54.8
20150408040443-205,18.8
20150408060446-398,4.217
20150408060458-999,72.867
20150408080406-657,1.367
20150408090423-286,52.45
20150408090432-622,50.15
20150408120450-64,26.733
20150409020430-421,0.483
20150409030409-552,1.333
20150409040452-282,0.95
20150409050412-493,41.867
20150409070446-883,78.833
20150409090411-319,149.267
20150409100421-849,97.95
20150409100452-47,72.15
20150410030412-386,0.833
20150410050413-811,8.433
20150410050429-88,11.0
20150410060447-348,0.533
20150410080439-253,78.967
20150410080447-108,0.45
20150410110411-548,54.667
20150411020405-25,80.75
20150411020420-325,0.55
20150411030436-801,0.35
20150411050404-471,4.533
20150411050432-27,96.9
20150411070401-185,0.933
20150411080422-295,0.417
20150411110416-472,51.817
20150411110416-875,156.233
20150411110428-447,1.217
20150411120416-183,150.517
20150411120449-453,34.817
20150412010421-959,29.783
20150412010432-32,1.883
20150412020410-578,0.45
20150412040445-834,0.867
20150412060407-898,0.567
20150412060433-809,0.533
20150412070432-974,0.4
20150412070442-715,199.15
20150412090424-439,204.45
20150412120454-71,24.8
20150413010441-864,1.117
20150413010454-578,1.167
20150413020432-24,26.9
20150413030425-582,0.817
20150413050412-329,15.083
20150413050443-129,88.867
20150413080423-537,132.717
20150413100433-129,1.867
20150413100443-728,166.133
20150413110402-150,35.633
20150413120415-597,1.033
20150414030411-239,1.217
20150414050436-933,66.433
20150414060406-461,364.35
20150414070450-156,0.45
20150414070459-536,37.45
20150414110443-27,0.867
20150414120431-742,0.35
20150415010456-94,0.767
20150415020401-312,0.45
20150415020406-610,55.883
20150415030438-398,0.5
20150415030456-512,0.95
20150415070401-918,73.617
20150415080437-148,0.533
