,Unnamed: 0,Timestamp,car-id,car-type,gate-name,Date,gate_type
139545,139545,2015-11-12 03:15:36,20151112031119-409,4,gate5,2015-11-12,gate
139546,139546,2015-11-12 03:20:56,20151112031119-409,4,general-gate5,2015-11-12,general-gate
139547,139547,2015-11-12 03:29:44,20151112031119-409,4,gate3,2015-11-12,gate
139548,139548,2015-11-12 03:31:41,20151112031119-409,4,ranger-stop3,2015-11-12,ranger-stop
139550,139550,2015-11-12 03:44:41,20151112031119-409,4,ranger-stop3,2015-11-12,ranger-stop
139551,139551,2015-11-12 03:46:33,20151112031119-409,4,gate3,2015-11-12,gate
139552,139552,2015-11-12 03:55:19,20151112031119-409,4,general-gate5,2015-11-12,general-gate
139555,139555,2015-11-12 04:00:41,20151112031119-409,4,gate5,2015-11-12,gate
139556,139556,2015-11-12 04:01:45,20151112031119-409,4,ranger-stop6,2015-11-12,ranger-stop
139558,139558,2015-11-12 04:02:53,20151112031119-409,4,gate6,2015-11-12,gate
139561,139561,2015-11-12 04:05:00,20151112031119-409,4,entrance3,2015-11-12,entrance
142034,142034,2015-12-01 02:52:45,20155201025245-696,4,entrance3,2015-12-01,entrance
142035,142035,2015-12-01 02:54:29,20155201025245-696,4,gate6,2015-12-01,gate
142036,142036,2015-12-01 02:55:28,20155201025245-696,4,ranger-stop6,2015-12-01,ranger-stop
142037,142037,2015-12-01 02:56:21,20155201025245-696,4,gate5,2015-12-01,gate
142038,142038,2015-12-01 03:00:51,20155201025245-696,4,general-gate5,2015-12-01,general-gate
142039,142039,2015-12-01 03:08:14,20155201025245-696,4,gate3,2015-12-01,gate
142040,142040,2015-12-01 03:09:53,20155201025245-696,4,ranger-stop3,2015-12-01,ranger-stop
142041,142041,2015-12-01 03:23:00,20155201025245-696,4,ranger-stop3,2015-12-01,ranger-stop
142042,142042,2015-12-01 03:24:34,20155201025245-696,4,gate3,2015-12-01,gate
142043,142043,2015-12-01 03:31:57,20155201025245-696,4,general-gate5,2015-12-01,general-gate
142044,142044,2015-12-01 03:36:27,20155201025245-696,4,gate5,2015-12-01,gate
142045,142045,2015-12-01 03:37:21,20155201025245-696,4,ranger-stop6,2015-12-01,ranger-stop
142046,142046,2015-12-01 03:38:18,20155201025245-696,4,gate6,2015-12-01,gate
142047,142047,2015-12-01 03:40:05,20155201025245-696,4,entrance3,2015-12-01,entrance
144197,144197,2015-12-24 03:28:30,20152824032830-251,4,entrance3,2015-12-24,entrance
144198,144198,2015-12-24 03:30:43,20152824032830-251,4,gate6,2015-12-24,gate
144199,144199,2015-12-24 03:31:59,20152824032830-251,4,ranger-stop6,2015-12-24,ranger-stop
144200,144200,2015-12-24 03:33:07,20152824032830-251,4,gate5,2015-12-24,gate
144201,144201,2015-12-24 03:38:56,20152824032830-251,4,general-gate5,2015-12-24,general-gate
144202,144202,2015-12-24 03:48:28,20152824032830-251,4,gate3,2015-12-24,gate
144203,144203,2015-12-24 03:50:36,20152824032830-251,4,ranger-stop3,2015-12-24,ranger-stop
144204,144204,2015-12-24 04:03:32,20152824032830-251,4,ranger-stop3,2015-12-24,ranger-stop
144205,144205,2015-12-24 04:05:33,20152824032830-251,4,gate3,2015-12-24,gate
144206,144206,2015-12-24 04:15:06,20152824032830-251,4,general-gate5,2015-12-24,general-gate
144207,144207,2015-12-24 04:20:54,20152824032830-251,4,gate5,2015-12-24,gate
144208,144208,2015-12-24 04:22:04,20152824032830-251,4,ranger-stop6,2015-12-24,ranger-stop
144209,144209,2015-12-24 04:23:18,20152824032830-251,4,gate6,2015-12-24,gate
144210,144210,2015-12-24 04:25:36,20152824032830-251,4,entrance3,2015-12-24,entrance
146667,146667,2016-01-19 03:22:29,20162219032229-226,4,entrance3,2016-01-19,entrance
146668,146668,2016-01-19 03:24:13,20162219032229-226,4,gate6,2016-01-19,gate
146669,146669,2016-01-19 03:25:12,20162219032229-226,4,ranger-stop6,2016-01-19,ranger-stop
146670,146670,2016-01-19 03:26:06,20162219032229-226,4,gate5,2016-01-19,gate
146671,146671,2016-01-19 03:30:40,20162219032229-226,4,general-gate5,2016-01-19,general-gate
146672,146672,2016-01-19 03:38:10,20162219032229-226,4,gate3,2016-01-19,gate
146673,146673,2016-01-19 03:39:50,20162219032229-226,4,ranger-stop3,2016-01-19,ranger-stop
146674,146674,2016-01-19 03:51:16,20162219032229-226,4,ranger-stop3,2016-01-19,ranger-stop
146675,146675,2016-01-19 03:52:52,20162219032229-226,4,gate3,2016-01-19,gate
146676,146676,2016-01-19 04:00:22,20162219032229-226,4,general-gate5,2016-01-19,general-gate
146677,146677,2016-01-19 04:04:56,20162219032229-226,4,gate5,2016-01-19,gate
146678,146678,2016-01-19 04:05:51,20162219032229-226,4,ranger-stop6,2016-01-19,ranger-stop
146679,146679,2016-01-19 04:06:49,20162219032229-226,4,gate6,2016-01-19,gate
146680,146680,2016-01-19 04:08:37,20162219032229-226,4,entrance3,2016-01-19,entrance
150019,150019,2016-02-16 03:30:37,20163016033037-38,4,entrance3,2016-02-16,entrance
150021,150021,2016-02-16 03:32:21,20163016033037-38,4,gate6,2016-02-16,gate
150022,150022,2016-02-16 03:33:20,20163016033037-38,4,ranger-stop6,2016-02-16,ranger-stop
150023,150023,2016-02-16 03:34:14,20163016033037-38,4,gate5,2016-02-16,gate
150024,150024,2016-02-16 03:38:48,20163016033037-38,4,general-gate5,2016-02-16,general-gate
150026,150026,2016-02-16 03:46:17,20163016033037-38,4,gate3,2016-02-16,gate
150027,150027,2016-02-16 03:47:57,20163016033037-38,4,ranger-stop3,2016-02-16,ranger-stop
150029,150029,2016-02-16 04:00:46,20163016033037-38,4,ranger-stop3,2016-02-16,ranger-stop
150030,150030,2016-02-16 04:02:22,20163016033037-38,4,gate3,2016-02-16,gate
150032,150032,2016-02-16 04:09:51,20163016033037-38,4,general-gate5,2016-02-16,general-gate
150033,150033,2016-02-16 04:14:25,20163016033037-38,4,gate5,2016-02-16,gate
150034,150034,2016-02-16 04:15:20,20163016033037-38,4,ranger-stop6,2016-02-16,ranger-stop
150035,150035,2016-02-16 04:16:18,20163016033037-38,4,gate6,2016-02-16,gate
150037,150037,2016-02-16 04:18:05,20163016033037-38,4,entrance3,2016-02-16,entrance
151936,151936,2016-03-01 03:24:10,20162401032410-101,4,entrance3,2016-03-01,entrance
151937,151937,2016-03-01 03:26:04,20162401032410-101,4,gate6,2016-03-01,gate
151938,151938,2016-03-01 03:27:09,20162401032410-101,4,ranger-stop6,2016-03-01,ranger-stop
151939,151939,2016-03-01 03:28:08,20162401032410-101,4,gate5,2016-03-01,gate
151940,151940,2016-03-01 03:33:08,20162401032410-101,4,general-gate5,2016-03-01,general-gate
151941,151941,2016-03-01 03:41:19,20162401032410-101,4,gate3,2016-03-01,gate
151942,151942,2016-03-01 03:43:08,20162401032410-101,4,ranger-stop3,2016-03-01,ranger-stop
151943,151943,2016-03-01 03:56:19,20162401032410-101,4,ranger-stop3,2016-03-01,ranger-stop
151944,151944,2016-03-01 03:58:03,20162401032410-101,4,gate3,2016-03-01,gate
151945,151945,2016-03-01 04:06:15,20162401032410-101,4,general-gate5,2016-03-01,general-gate
151946,151946,2016-03-01 04:11:14,20162401032410-101,4,gate5,2016-03-01,gate
151947,151947,2016-03-01 04:12:14,20162401032410-101,4,ranger-stop6,2016-03-01,ranger-stop
151948,151948,2016-03-01 04:13:18,20162401032410-101,4,gate6,2016-03-01,gate
151949,151949,2016-03-01 04:15:16,20162401032410-101,4,entrance3,2016-03-01,entrance
161583,161583,2016-05-03 03:50:05,20165003035005-470,4,entrance3,2016-05-03,entrance
161585,161585,2016-05-03 03:52:08,20165003035005-470,4,gate6,2016-05-03,gate
161586,161586,2016-05-03 03:53:18,20165003035005-470,4,ranger-stop6,2016-05-03,ranger-stop
161588,161588,2016-05-03 03:54:21,20165003035005-470,4,gate5,2016-05-03,gate
161589,161589,2016-05-03 03:59:43,20165003035005-470,4,general-gate5,2016-05-03,general-gate
161592,161592,2016-05-03 04:08:32,20165003035005-470,4,gate3,2016-05-03,gate
161594,161594,2016-05-03 04:10:30,20165003035005-470,4,ranger-stop3,2016-05-03,ranger-stop
161598,161598,2016-05-03 04:23:38,20165003035005-470,4,ranger-stop3,2016-05-03,ranger-stop
161599,161599,2016-05-03 04:25:30,20165003035005-470,4,gate3,2016-05-03,gate
161600,161600,2016-05-03 04:34:19,20165003035005-470,4,general-gate5,2016-05-03,general-gate
161602,161602,2016-05-03 04:39:41,20165003035005-470,4,gate5,2016-05-03,gate
161603,161603,2016-05-03 04:40:45,20165003035005-470,4,ranger-stop6,2016-05-03,ranger-stop
161604,161604,2016-05-03 04:41:54,20165003035005-470,4,gate6,2016-05-03,gate
161605,161605,2016-05-03 04:44:00,20165003035005-470,4,entrance3,2016-05-03,entrance
166896,166896,2016-05-19 04:24:11,20162419042411-322,4,entrance3,2016-05-19,entrance
166897,166897,2016-05-19 04:26:18,20162419042411-322,4,gate6,2016-05-19,gate
166898,166898,2016-05-19 04:27:29,20162419042411-322,4,ranger-stop6,2016-05-19,ranger-stop
166899,166899,2016-05-19 04:28:34,20162419042411-322,4,gate5,2016-05-19,gate
166900,166900,2016-05-19 04:34:02,20162419042411-322,4,general-gate5,2016-05-19,general-gate
166902,166902,2016-05-19 04:43:03,20162419042411-322,4,gate3,2016-05-19,gate
166903,166903,2016-05-19 04:45:03,20162419042411-322,4,ranger-stop3,2016-05-19,ranger-stop
